epoch,train_loss(total)
1,2.279164402782917
2,2.0318086102604864
3,1.9218872317671776
4,1.8508545649051666
5,1.7686701640486717
6,1.7099502235651016
7,1.6227921575307847
8,1.5618725618720055
9,1.4691951082646846
10,1.4018341673910617
11,1.339301926344633
12,1.2594547833502292
13,1.1950366301834583
14,1.134170151501894
15,1.0803793449699879
16,1.0300211849808694
17,0.9869123449921609
18,0.9572387531399726
19,0.9186983159184456
20,0.8767655615508556
21,0.8445432402938604
22,0.8149518545717
23,0.7929100425541401
24,0.7715327177941799
25,0.7513253585249186
26,0.728845109641552
27,0.6998372523486615
28,0.7017268454283476
29,0.6675649908185005
30,0.6521143120527267
31,0.6554285046458245
32,0.6309327953308821
33,0.6106900180876255
34,0.6113175926357508
35,0.5929714261740446
36,0.5953077401220799
37,0.5649263142794371
38,0.5579624754935503
39,0.5381195781379938
40,0.530672807842493
41,0.5340294580161572
42,0.5255474809557199
43,0.5261714471876622
44,0.5185781086608767
45,0.48410190127789976
46,0.4807225553318858
47,0.4717418637126684
48,0.46834338519722224
49,0.45794138591736555
50,0.4584585103020072
51,0.44034474410116675
52,0.43935735024511813
53,0.43195099782198665
54,0.4343541413918138
55,0.4179350056871772
56,0.41668224848806856
57,0.42104953322559596
58,0.4065335029736161
59,0.4031152179092169
60,0.397508801817894
61,0.39637087792158127
62,0.37564101796597243
63,0.3754827478528023
64,0.36880801904946564
65,0.36021371103823185
66,0.3600897240266204
67,0.3540547413006425
68,0.3477729795500636
