epoch,train_loss(total)
1,2.2523538130521774
2,2.4531823170185088
3,2.7081243741512298
4,2.609879013299942
5,2.47066641330719
6,2.3941496926546098
7,2.3551711535453794
8,2.324915427565575
9,2.289149344563484
10,2.250738000869751
11,2.2281176900863646
12,2.2143335205316546
13,2.2145509642362593
14,2.2204987078905107
15,2.1903083366155625
16,2.2015780067443846
17,2.208764038681984
18,2.2667568933963778
19,2.2547086280584336
20,2.2888265478610994
21,2.267152463793755
22,2.225403195023537
23,2.2066044878959654
24,2.1821008083224296
25,2.1664806798100473
26,2.1612425681948664
27,2.150899752378464
28,2.144104055464268
29,2.135382073521614
30,2.118664907813072
31,2.1214812260866167
32,2.1119512629508974
33,2.1083764657378197
34,2.1073664209246634
35,2.0987942442297935
36,2.0902509760856627
