,gradient_norm_on_full_trainset
0,0.3272183352275967
1,0.3228223356973271
2,0.3184964404052992
3,0.3142375277615618
4,0.310040513973977
5,0.3059071452422498
6,0.30184047043420315
7,0.2978411010683109
8,0.29390373626956284
9,0.29002943059693387
10,0.28621915805248066
11,0.28247469644751255
12,0.27878837722431016
13,0.27516957696104216
14,0.27161312377867336
15,0.2681209590212961
16,0.2646921244460691
17,0.2613209731229118
18,0.25801150273919615
19,0.2547625870688627
20,0.2515729038184917
21,0.2484407555018014
22,0.24536640108429938
23,0.2423483904745618
24,0.23938871395767372
25,0.23647980109697833
26,0.23362634566411197
27,0.23082467717233865
28,0.22807304913263798
29,0.22537331968027868
30,0.22272046234539072
31,0.22011807592383698
32,0.21756115639122325
33,0.2150534805517721
34,0.21259359730825902
35,0.21017818159964424
36,0.20780456189600932
37,0.20547345984831483
38,0.20318562686938174
39,0.20093896443276416
40,0.1987318843291277
41,0.19656293185381607
42,0.1944346483868526
43,0.19234311147503705
44,0.1902882623481311
45,0.1882704332365539
46,0.1862879876989662
47,0.18434027234684533
48,0.18242545337614213
49,0.18054359007856108
50,0.17869471907899898
51,0.17687675765119953
52,0.17509010797277902
53,0.17333249213850815
54,0.17160754334959002
55,0.16990722222762195
56,0.1682379853184594
57,0.16659775978130895
58,0.16498191588573577
59,0.1633916428843493
60,0.1618273922827658
61,0.16029208192027816
62,0.15878175231410546
63,0.1572930372570195
64,0.155830127211833
65,0.15438754871135923
66,0.15296741589909643
67,0.151573093128389
68,0.15019770613250166
69,0.14884326389888217
70,0.1475105036607342
71,0.14619818077678487
72,0.14490665116590012
73,0.14363385926349795
74,0.1423801183813019
75,0.14114587809939547
76,0.139929298382397
77,0.13872969781575045
78,0.13754776221583695
79,0.13638411797068287
80,0.13523775618975503
81,0.1341082586183261
82,0.13299330116060656
83,0.1318918646327086
84,0.13080712706453732
85,0.12973935680678533
86,0.1286866783561339
87,0.12764812019798574
88,0.1266242448026188
89,0.1256141188557032
90,0.12461759846823268
91,0.12363550820989541
92,0.12266493936547496
93,0.12170800219201208
94,0.12076366603905515
95,0.11983317034459791
96,0.11891395172571091
97,0.11800697296605338
98,0.1171112159074446
99,0.11622687187381733
100,0.11535531045363667
101,0.11449476153231422
102,0.11364482439456947
103,0.11280596640917129
104,0.11197746826830242
105,0.11115845920447173
106,0.11035192054240558
107,0.10955413947726982
108,0.10876610612099949
109,0.1079881710140431
110,0.10721960119251699
111,0.10645966871062255
112,0.10570849998355855
113,0.10496698803547962
114,0.10423494042314338
115,0.10351162068063442
116,0.1027957277863075
117,0.1020880182247832
118,0.10138765620841414
119,0.10069599078766622
120,0.10001214861149528
121,0.09933740884693906
122,0.09867004253677872
123,0.09801057966947235
124,0.09735785356384831
125,0.09671224714058523
126,0.09607320514692594
127,0.09544264545479023
128,0.09481951119496743
129,0.09420232206292267
130,0.09359182099236862
131,0.09298784656395323
132,0.09239034717647876
133,0.09180063181048201
134,0.09121611215373718
135,0.09063811173976354
136,0.09006634362865676
137,0.08950077596121488
138,0.08894023502364358
139,0.08838637341242389
140,0.08783847264717833
141,0.08729598337175246
142,0.08675908800118526
143,0.0862285641511655
144,0.08570252561138353
145,0.0851821203757289
146,0.08466778804525484
147,0.08415678676459108
148,0.08365221676321903
149,0.0831516768719533
150,0.08265608269013447
151,0.08216548775896436
152,0.08168112175898275
153,0.08120014104437764
154,0.080724745699312
155,0.08025344991879504
156,0.07978728531405903
157,0.07932467555441382
158,0.07886651218849272
159,0.07841275360625097
160,0.07796433796891532
161,0.07751846154381921
162,0.07707760280039994
163,0.0766401805851499
164,0.07620625572587683
165,0.07577733590687266
166,0.07535272756723614
167,0.0749319686476769
168,0.07451514397723505
169,0.0741011423388085
170,0.07369167687189802
171,0.0732851590610905
172,0.07288254655811532
173,0.07248359887299521
174,0.07208923209518793
175,0.07169745687269483
176,0.0713087730393968
177,0.07092366263032025
178,0.07054235822702322
179,0.07016563222919926
180,0.06979108531201056
181,0.06942063712474052
182,0.06905208353609259
183,0.0686862567498821
184,0.06832465714608489
185,0.0679655336098838
186,0.06760932577236495
187,0.06725694353361107
188,0.06690783523681129
189,0.06656137805411651
190,0.06621638140979555
191,0.06587468369291967
192,0.06553684034917596
193,0.06520104469721046
194,0.06486757314176246
195,0.06453799506715537
196,0.06421047131675282
197,0.06388533804279874
198,0.06356305709993275
199,0.06324258943964556
200,0.06292633358956032
201,0.06261192462935346
202,0.062299746803990516
203,0.06199013927011722
204,0.061682472945768986
205,0.061377190622287435
206,0.06107421588195185
207,0.0607741986989596
208,0.060475783758004095
209,0.06018098334334414
210,0.059887729390049285
211,0.059597180535765105
212,0.05930853871990599
213,0.05902310869096702
214,0.05873919092278239
215,0.058457089080166405
216,0.05817696041943674
217,0.05789900434535793
218,0.057622805759971876
219,0.057348894487185234
220,0.05707790995672861
221,0.05680859893678256
222,0.0565403017076929
223,0.056275246904983714
224,0.056010935749688885
225,0.055749172081848784
226,0.055489888850284774
227,0.0552321847101885
228,0.05497557480024823
229,0.0547199049800989
230,0.0544675956043398
231,0.05421680647545759
232,0.05396750491455669
233,0.05372019681362793
234,0.05347507721006667
235,0.053231765476979755
236,0.052989621131838784
237,0.052749175775496
238,0.052510700220133676
239,0.05227473526061248
240,0.05203904049068788
241,0.0518052953336281
242,0.05157358347426818
243,0.051343279626169705
244,0.051114353265624454
245,0.05088748039349077
246,0.05066143332963359
247,0.05043782786750295
248,0.05021532367652311
249,0.04999460751460684
250,0.04977518354785303
251,0.04955646661933597
252,0.049339855149696805
253,0.049124924357382437
254,0.048911187508348955
255,0.048698308286958175
256,0.04848717083203148
257,0.04827795690873215
258,0.04806971328225336
259,0.047862735905847706
260,0.04765681454208176
261,0.04745251782800824
262,0.0472493748416767
263,0.04704767327368037
264,0.04684764829438122
265,0.04664871236748102
266,0.046451380296847575
267,0.04625467496748235
268,0.04605963566491354
269,0.04586553612312359
270,0.04567316119701223
271,0.04548161464735084
272,0.045291372163432334
273,0.04510298152578647
274,0.044915177273905885
275,0.04472916276575891
276,0.04454320770821012
277,0.04435878857547557
278,0.04417616266077699
279,0.0439941272567979
280,0.04381274795299857
281,0.04363256613239995
282,0.04345398241363334
283,0.04327593198603032
284,0.04309866296130021
285,0.04292382116513084
286,0.04274938249013175
287,0.04257571459566896
288,0.04240344826326808
289,0.04223219497169742
290,0.04206210671408988
291,0.041892842099087176
292,0.04172509784486362
293,0.04155706690878698
294,0.04139122610977621
295,0.041225285889873176
296,0.04106080829555641
297,0.04089653874348583
298,0.04073424843423094
299,0.0405725761246281
300,0.0404120516224707
301,0.040251924233618445
302,0.04009349497686892
303,0.03993529630765491
304,0.03977867710489087
305,0.03962261835043481
306,0.03946740211089847
307,0.039313519874406226
308,0.03916045261292192
309,0.039007625846009364
310,0.03885621705635246
311,0.03870551061007068
312,0.038555942519848285
313,0.03840690408533186
314,0.038258573043363345
315,0.03811124432335718
316,0.037964751932448
317,0.03781924895487061
318,0.03767432025057753
319,0.037530112427147
320,0.03738727660565962
321,0.037244442988387014
322,0.03710185558077996
323,0.03696084140483727
324,0.03682114768186867
325,0.036682273373028054
326,0.03654335291738602
327,0.036405505348181835
328,0.036268494999026575
329,0.03613194273090864
330,0.035996161074418366
331,0.035861231668991786
332,0.035726556953086366
333,0.03559273239172228
334,0.03546012333713823
335,0.035327967703997556
336,0.03519662106185505
337,0.03506528138337454
